i,local_result
1568,1305.5
1569,1314.5
1570,7914
1571,12713
1572,7863
1573,21830.5
1574,8358
1575,13390
1576,16549
1577,20862.5
1578,23715.5
1579,21423.5
1580,21711.5
1581,9354
1582,24935.5
1583,3524.5
1584,26447
1585,16086.5
1586,3797.5
1587,10121
1588,3858.5
1589,1925.5
1590,23502.5
1591,23803.5
1592,29109
1593,23146.5
1594,16324
1595,24020
1596,32322
1597,2113.5
1598,25407.5
1599,34134
1600,7164
1601,4456.5
1602,34337
1603,2148.5
1604,4622.5
1605,17454
1606,4741.5
1607,34192
1608,23224.5
1609,27982.5
1610,22301
1611,23148
1612,11732
1613,11745
1614,22930
1615,42401
1616,18751.5
1617,9341
1618,31750
1619,5355.5
1620,43892
1621,36148
1622,5428.5
1623,29649.5
1624,19356
1625,19397
1626,38065.5
1627,19704
1628,5869.5
1629,5734.5
1630,5903.5
1631,20042
1632,25348.5
1633,27848.5
1634,6055.5
1635,36217
1636,20639
1637,26217
1638,36895
1639,6141.5
1640,6347.5
1641,50380
1642,50754
1643,38293
1644,21809
1645,6730.5
1646,35727
1647,42182
1648,7163.5
1649,3340
1650,53897
1651,7417.5
1652,7429.5
1653,52875
1654,7594.5
1655,40955.5
1656,50794
1657,54586
1658,15472
1659,7829.5
1660,57832
1661,38413.5
1662,8026.5
1663,15702
1664,44581.5
1665,31035
1666,15841
1667,47886
1668,31611
1669,31757
1670,31943
1671,62128
1672,43185.5
1673,43416.5
1674,25516
1675,16335
1676,25759
1677,8986.5
1678,48365
1679,26457
1680,26775
1681,27077
1682,54382
1683,35231
1684,35551
1685,35890
1686,49731.5
1687,49966.5
1688,47923.5
1689,41289.5
1690,11294.5
1691,36725.5
1692,37169
1693,58857
1694,51727
1695,11779.5
1696,53043
1697,30258
1698,62556.5
1699,30495
1700,12104.5
1701,12117.5
1702,55583
1703,41017
1704,41264
1705,41534
1706,21015
1707,31824
1708,32034
1709,32260
1710,32460
1711,61769
1712,41809
1713,79171
1714,56705
1715,32248
1716,17931
1717,60262
1718,53194.5
1719,16480
1720,16508
1721,12734.5
1722,28043
1723,60476.5
1724,83813
1725,84214
1726,7236
1727,83239
1728,55954.5
1729,82523
1730,82902
1731,13073.5
1732,83299
1733,83675
1734,84050
1735,50956.5
1736,51229.5
1737,7482.5
1738,89043
1739,48185
1740,13197.5
1741,13230.5
1742,13438.5
1743,7600.5
1744,72397
1745,13555.5
1746,38587.5
1747,13636.5
1748,96801
1749,7708.5
1750,68754.5
1751,403
1752,762.5
1753,1144.5
1754,1525.5
1755,1150
1756,1730
1757,2022
1758,2312
1759,1604.5
1760,2350
1761,4234
1762,5114
1763,5045
1764,1434.5
1765,5779
1766,6161
1767,446.5
1768,7216
1769,5701.5
1770,8014
1771,8416
1772,8816
1773,9000.5
1774,7188.5
1775,9183.5
1776,8988
1777,6340.5
1778,10865
1779,11253
1780,11637
1781,3161.5
1782,12419
1783,12423.5
1784,12553
1785,14917
1786,11752.5
1787,15300
1788,6562
1789,13373.5
1790,1946.5
1791,1993.5
1792,15435.5
1793,10413.5
1794,16281
1795,13568
1796,18270
1797,13314.5
1798,19070
1799,8551
1800,8747
1801,8925
1802,12586.5
1803,1677.5
1804,5379.5
1805,5431.5
1806,9723
1807,11503.5
1808,19009.5
1809,5918.5
1810,5970.5
1811,19373
1812,14224
1813,22670
1814,20582
1815,25728
1816,27358.5
1817,26634.5
1818,16293.5
1819,19607
1820,19914
1821,24653.5
1822,20990
1823,31524
1824,32357.5
1825,21416
1826,26490.5
1827,33394
1828,23868
1829,34313
1830,19079
1831,379.5
1832,3048.5
1833,33836.5
1834,10848.5
1835,34939
1836,19607.5
1837,25167
1838,5771
1839,36141.5
1840,17126
1841,30428.5
1842,30767.5
1843,37819
1844,37467
1845,38183
1846,37534.5
1847,24140
1848,26283.5
1849,30437
1850,37360.5
1851,5278.5
1852,33402
1853,44316.5
1854,16127.5
1855,16429.5
1856,22466.5
1857,47967
1858,34130
1859,48120
1860,15801.5
1861,39731.5
1862,30835.5
1863,8588.5
1864,16670.5
1865,50457
1866,39707.5
1867,50221.5
1868,50643.5
1869,51065.5
1870,52770
1871,20623.5
1872,52326.5
1873,54036
1874,53170.5
1875,51430.5
1876,53912
1877,39103
1878,55581
1879,22540.5
1880,49579.5
1881,57149
1882,407
1883,765
1884,1140
1885,1401
1886,1746
1887,2408
1888,2456
1889,871.5
1890,3414
1891,387
1892,780
1893,1226
1894,1382
1895,1908.5
1896,2173.5
1897,1487.5
1898,2925.5
1899,1899.5
1900,3819
1901,422
1902,187.5
1903,971.5
1904,1688
1905,1617.5
1906,2140.5
1907,1332
1908,2085.5
1909,2687.5
1910,2990.5
1911,33.5
1912,501.5
1913,585.5
1914,1002
1915,1445.5
1916,308.5
1917,1954.5
1918,372.5
1919,456.5
1920,490.5
1921,44
1922,173
1923,1078
1924,488.5
1925,212
1926,2260
1927,2815
1928,2968
1929,1395.5
1930,3792
1931,313.5
1932,942
1933,1041.5
1934,1385.5
1935,760.5
1936,1561
1937,2701.5
1938,1767.5
1939,4310
1940,3196
1941,389.5
1942,658.5
1943,1433.5
1944,1324
1945,746
1946,1944.5
1947,2435
1948,1286.5
1949,4251
1950,4821.5
1951,478.5
1952,947.5
1953,619
1954,1872
1955,1262
1956,2270.5
1957,2016.5
1958,2300.5
1959,1424.5
1960,1870
1961,163
1962,930.5
1963,1278
1964,804
1965,2196
1966,2866
1967,3335
1968,3427
1969,4249
1970,4742
1971,455
1972,722
1973,1370.5
1974,1260
1975,2286.5
1976,2063
1977,3105
1978,3156
1979,4163.5
1980,4300
1981,438.5
1982,875.5
1983,904.5
1984,1202
1985,2130
1986,2514
1987,1509
1988,3160.5
1989,686
1990,52
1991,356
1992,477.5
1993,436.5
1994,1585.5
1995,1515.5
1996,2375
1997,1566.5
1998,3219
1999,3839.5
2000,412.5
2001,369.5
2002,732.5
2003,672.5
2004,956.5
2005,1827.5
2006,1504.5
2007,2395
2008,2339
2009,3175.5
2010,3535.5
2011,3519.5
2012,4634
2013,5012
2014,5590.5
2015,4253.5
2016,4542.5
2017,6790.5
2018,5777
2019,6408
2020,7987.5
2021,8217
2022,8612
2023,8083.5
2024,6114.5
2025,8790.5
2026,8771
2027,8690
2028,11095
2029,11079
2030,9710.5
2031,9949.5
2032,10297
2033,11128.5
2034,11564
2035,9133.5
2036,13109.5
2037,13639.5
2038,12321
2039,11867.5
2040,12174.5
2041,16376.5
2042,13610
2043,11387.5
2044,17215
2045,14598
2046,12225.5
2047,12497.5
2048,13574
2049,19042
2050,13312.5
2051,19820
2052,19606
2053,16181.5
2054,19471.5
2055,21133.5
2056,15887.5
2057,20144
2058,6206
2059,16684.5
2060,6293
2061,22005.5
2062,22599.5
2063,22687
2064,16886.5
2065,17173.5
2066,17462.5
2067,17757.5
2068,19258.5
2069,22201.5
2070,18567.5
2071,12202.5
2072,23170.5
2073,25171
2074,27854
2075,25168
2076,20116.5
2077,20505.5
2078,23065.5
2079,23944.5
2080,25732.5
2081,26370
2082,22252
2083,19651
2084,23761.5
2085,22574.5
2086,26071.5
2087,23611
2088,26664.5
2089,22587
2090,32821.5
2091,31380
2092,29698
2093,22075
2094,30397
2095,14278.5
2096,29403.5
2097,31438
2098,30074.5
2099,26448.5
2100,30721.5
2101,37218.5
2102,25051
2103,33789
2104,41115
2105,41523
2106,38676.5
2107,26289
2108,39872.5
2109,35856
2110,44150
2111,41024.5
2112,31455
2113,41795.5
2114,39767
2115,42564.5
2116,42943.5
2117,15977.5
2118,36240.5
2119,36580.5
2120,46956
2121,44883
2122,37564.5
2123,40547
2124,47823
2125,45879
2126,26063.5
2127,51320
2128,17905.5
2129,47813
2130,48081.5
2131,27253.5
2132,48831.5
2133,44070
2134,23345
2135,36112.5
2136,38694
2137,24055.5
2138,24113.5
2139,37338.5
2140,37638.5
2141,44206
2142,38156.5
2143,24900.5
2144,48561
2145,41008
2146,39013.5
2147,55023.5
2148,39431.5
2149,17789
2150,40041.5
2151,43643.5
2152,56943.5
2153,44214.5
2154,48016.5
2155,9960.5
2156,24425.5
2157,48784.5
2158,45767.5
2159,46084.5
2160,63614
2161,36014
2162,43546.5
2163,43850.5
2164,54097.5
2165,35194
2166,62403.5
2167,44881.5
2168,63201.5
2169,45287.5
2170,45579.5
2171,32911.5
2172,56697.5
2173,11001.5
2174,46031.5
2175,46212.5
2176,46390.5
2177,46642.5
2178,46741.5
2179,42434
2180,13894
2181,47856.5
2182,48134.5
2183,36048.5
2184,69121.5
2185,60953
2186,74923.5
2187,65844
2188,53615.5
